"iteration" "repeats" "folds" "knn" "nn" "tree" "svm"
"1" 1 1 1 0.72818934992508 0.688501999550236 0.678399122718211 0.69628552164767
"2" 2 1 2 0.66392673324423 0.734525229955253 0.760683263957807 0.689132456682201
"3" 3 1 3 0.691684372336182 0.707046666821538 0.653859735864616 0.693634249354268
"4" 4 1 4 0.64547484329805 0.686018670275023 0.693034859370203 0.676719527764503
"5" 5 1 5 0.701101776140639 0.670613308544647 0.66205524999731 0.69266203884971
"6" 6 2 1 0.67915621682309 0.695955032620235 0.712843344339802 0.696788068136862
"7" 7 2 2 0.745115006531109 0.688871088525722 0.629797732427762 0.712842199739876
"8" 8 2 3 0.676140179777478 0.732871369116653 0.651098153011143 0.671735385600516
"9" 9 2 4 0.729629435861163 0.677975807579638 0.723141755953197 0.693401758170013
"10" 10 2 5 0.662354576370629 0.667360430531571 0.750665238623756 0.672701338100932
"11" 11 3 1 0.740175291754142 0.681872390101774 0.633306535506955 0.648253989714797
"12" 12 3 2 0.686803441478397 0.682751647461542 0.690039719388711 0.692927726956535
"13" 13 3 3 0.708169193026895 0.71376506948433 0.690782818856586 0.704414668735367
"14" 14 3 4 0.67939835097369 0.736034823827437 0.70212978340321 0.648171055052074
"15" 15 3 5 0.682897226289506 0.667540382191857 0.756928376762696 0.683449693267209
"16" 16 4 1 0.683281712021111 0.678849638991312 0.669363488181683 0.69938608932195
"17" 17 4 2 0.654910399439632 0.647100420196171 0.685831037603218 0.728101541861546
"18" 18 4 3 0.732734095619031 0.693309099454462 0.744658800525647 0.688013165029277
"19" 19 4 4 0.667653532176984 0.684479308087025 0.622930169265207 0.651894456004123
"20" 20 4 5 0.730871880224932 0.770405866103905 0.64726443833746 0.673488169090502
"21" 21 5 1 0.72880824084313 0.725458979414374 0.631025423875832 0.626993879375695
"22" 22 5 2 0.693002672076005 0.654399548153199 0.66124959244159 0.6154424606495
"23" 23 5 3 0.708725993573206 0.677464121486445 0.722541457060398 0.688837696589969
"24" 24 5 4 0.6603420125495 0.688075405597686 0.680428698961999 0.784951113314366
"25" 25 5 5 0.695814313540568 0.674639723820683 0.721476716723937 0.739639956950617
"26" 26 6 1 0.654127051457032 0.690857101392483 0.655655372748486 0.656241130439201
"27" 27 6 2 0.772249378623865 0.761079541425443 0.651724125651178 0.609967800170091
"28" 28 6 3 0.601023581425333 0.641014688106266 0.750101476221443 0.791367723170132
"29" 29 6 4 0.695634168235311 0.652288852644644 0.719445808891365 0.742722659120183
"30" 30 6 5 0.712963393479413 0.678447004207976 0.647016108283233 0.644382559715125
"31" 31 7 1 0.704095929371986 0.68149441970498 0.697386290245493 0.64047510283256
"32" 32 7 2 0.684655249194257 0.657871495771989 0.715718512209634 0.686820229947593
"33" 33 7 3 0.68756881508518 0.651851431196955 0.670250432407862 0.69670163755993
"34" 34 7 4 0.675642163370387 0.727180231963414 0.682757410071654 0.717269567795071
"35" 35 7 5 0.716564645885959 0.725436241319622 0.726721769442563 0.735055891423674
"36" 36 8 1 0.711877944930188 0.681968100121756 0.700479837173961 0.642231017552316
"37" 37 8 2 0.650956057736789 0.715348578350043 0.700061988381963 0.703524383182835
"38" 38 8 3 0.659442692898858 0.703372413246745 0.700309171604444 0.730077254757514
"39" 39 8 4 0.642162232448734 0.663074824735502 0.646800118707277 0.678538713499848
"40" 40 8 5 0.758229605560467 0.716320983952656 0.710301248344612 0.706178884305389
"41" 41 9 1 0.731943732231475 0.639293712048831 0.69851685774768 0.696490165044709
"42" 42 9 2 0.720691039050777 0.701362655720377 0.636597109530504 0.61856250636573
"43" 43 9 3 0.615426812407888 0.637799355732596 0.721210705381826 0.721277740972999
"44" 44 9 4 0.711413809682733 0.724087983073587 0.75744509175444 0.702854926071214
"45" 45 9 5 0.668744859494212 0.743216773303924 0.671822358368148 0.68790239918589
"46" 46 10 1 0.687846652361093 0.695083187948346 0.744186223006646 0.718919521487489
"47" 47 10 2 0.666671908528697 0.731458382360396 0.736054757817628 0.727194300231901
