"iteration" "repeats" "folds" "knn" "nn" "tree" "svm"
"48" 48 10 3 0.683956694240901 0.661562333378736 0.598382712024038 0.658474628454071
"49" 49 10 4 0.691230079256035 0.678961971241336 0.687834128537901 0.624438637678181
"50" 50 10 5 0.672150831607496 0.73228357316958 0.656423828376783 0.751697948394786
"51" 51 11 1 0.713411586364687 0.711382784512697 0.719893485747857 0.679831305731474
"52" 52 11 2 0.648073225675618 0.718678823603963 0.658996883577685 0.71434335207441
"53" 53 11 3 0.702848256229539 0.683716939227536 0.708338770898278 0.604601684596935
"54" 54 11 4 0.691023576251142 0.665342428558786 0.723926166324961 0.749051561579289
"55" 55 11 5 0.71697674597844 0.660718042211015 0.683149959741367 0.698251400665126
"56" 56 12 1 0.713379046111514 0.720219537855342 0.71584202510576 0.754752809673212
"57" 57 12 2 0.737208371426337 0.70866307356151 0.635136591092934 0.746760399391998
"58" 58 12 3 0.727532929050345 0.672298644153293 0.715001829480998 0.657742983839239
"59" 59 12 4 0.673857945325191 0.661891611615631 0.700639979852506 0.716610513023433
"60" 60 12 5 0.627530054392227 0.697882494901343 0.659380634735835 0.631505541755419
"61" 61 13 1 0.659390249491686 0.708500467675347 0.750367028448628 0.716303742693847
"62" 62 13 2 0.693393515761868 0.690742333663416 0.755818639682659 0.73697062381874
"63" 63 13 3 0.633918068335034 0.738467430196419 0.656483381902012 0.653293139236529
"64" 64 13 4 0.801427763404306 0.719526424316585 0.694598037289302 0.70644653941545
"65" 65 13 5 0.675946117213411 0.64560479804179 0.649015181547129 0.692294730830107
"66" 66 14 1 0.659870993635335 0.652837976753634 0.708268247809433 0.733296233251193
"67" 67 14 2 0.717063027908284 0.70160702083212 0.750293789235601 0.660768392387378
"68" 68 14 3 0.666579248665897 0.700945000411617 0.665556118567921 0.687787414228689
"69" 69 14 4 0.687788989811397 0.700707331914675 0.683480128810633 0.723412736167988
"70" 70 14 5 0.701515780206461 0.730175029180912 0.660642577658259 0.673671282266542
"71" 71 15 1 0.633765173323132 0.713643205450104 0.63426579735213 0.749827208707327
"72" 72 15 2 0.718638687747199 0.684912506384941 0.747058068451845 0.680962634355022
"73" 73 15 3 0.645905325030027 0.649474724179016 0.718754562289 0.64176809837952
"74" 74 15 4 0.768824971317934 0.649285603726138 0.625929635564979 0.66119532015953
"75" 75 15 5 0.705474828040815 0.708156207231519 0.733477779029721 0.674085145140134
"76" 76 16 1 0.756631205205133 0.704542223429469 0.748738846739905 0.68209926203405
"77" 77 16 2 0.624661296482088 0.714398723781008 0.72652785460446 0.732907446618534
"78" 78 16 3 0.660626550955515 0.635710375156469 0.632608765797428 0.718263840691186
"79" 79 16 4 0.676630925532642 0.654171492251733 0.655681805015219 0.644109927733422
"80" 80 16 5 0.677209626386607 0.701608328519271 0.698594894031478 0.683608429764485
"81" 81 17 1 0.649683808983325 0.722999193309407 0.735045430535119 0.663442343901927
"82" 82 17 2 0.803844963491189 0.713678015341676 0.705443991252879 0.684951086143995
"83" 83 17 3 0.667512758984318 0.674527236242746 0.712160899586892 0.648473528236723
"84" 84 17 4 0.682516916902626 0.717230111208026 0.644172825970684 0.730893331397217
"85" 85 17 5 0.651971068562903 0.655466830141394 0.668480936259027 0.69483211450091
"86" 86 18 1 0.675256783732927 0.706010564552264 0.672615798067576 0.682765320992397
"87" 87 18 2 0.685377689834452 0.634178899198391 0.771067230013958 0.675633968052619
"88" 88 18 3 0.688274689948752 0.728465067303394 0.668154766503451 0.685540672651791
"89" 89 18 4 0.741644712558763 0.685614706924249 0.688474092011179 0.687286823895866
"90" 90 18 5 0.678888206130874 0.689902703198221 0.661467212675511 0.699878628309002
"91" 91 19 1 0.656724242301668 0.699315336996036 0.663275710998905 0.689324554335822
"92" 92 19 2 0.690035359006844 0.638053699475755 0.716607270619682 0.697915005391211
"93" 93 19 3 0.689478210772611 0.749222910261987 0.71211886246656 0.6909663683314
"94" 94 19 4 0.685556256935524 0.693743360746391 0.665920864205298 0.728565269754839
"95" 95 19 5 0.718794920650888 0.650375005531795 0.663527499894007 0.678709274229364
"96" 96 20 1 0.693820650013021 0.649782229094349 0.699330030096135 0.677223451904131
"97" 97 20 2 0.652072870984468 0.711613646449377 0.685645654610098 0.761626363519113
"98" 98 20 3 0.644749040671024 0.742950413563889 0.70277606852619 0.686360062502728
"99" 99 20 4 0.685976414072671 0.654223467331925 0.68294675056847 0.625899095115729
"100" 100 20 5 0.74312256131894 0.732995681556238 0.751679199199324 0.654049976834072
"101" 101 21 1 0.641332526280388 0.638134153062249 0.688110333517983 0.665937597258449
"102" 102 21 2 0.685946370810782 0.664136299297249 0.687066208655976 0.685576541503157
"103" 103 21 3 0.737084550365398 0.660605488700648 0.686536553389047 0.668251694514955
"104" 104 21 4 0.689641949594093 0.686025612445604 0.687241660544156 0.724260021304689
"105" 105 21 5 0.699870618560094 0.732745557162028 0.688238655892486 0.706256265376065
"106" 106 22 1 0.693315034121802 0.730341047786123 0.645837524908641 0.654718869148538
"107" 107 22 2 0.675002889774249 0.603356112551604 0.743190987513321 0.637276529217264
"108" 108 22 3 0.64572178100062 0.708601977195573 0.695343342107359 0.750892818373596
"109" 109 22 4 0.65441310145773 0.704410781333058 0.69747933792737 0.665230330985745
"110" 110 22 5 0.731958785974321 0.705762408671269 0.619471841212366 0.717305249061434
"111" 111 23 1 0.729929138850343 0.685052890332068 0.69286013072553 0.708377806092382
"112" 112 23 2 0.702388845587229 0.677635578669221 0.695033672228427 0.638219739461448
"113" 113 23 3 0.684305361738016 0.709694387567073 0.737917109581966 0.712127246832347
"114" 114 23 4 0.646429553997205 0.700797365520285 0.677497926466779 0.641739292025555
"115" 115 23 5 0.68249647942468 0.704465300496295 0.719844644767726 0.707053006069389
"116" 116 24 1 0.711632750346221 0.689658789304922 0.714372947488706 0.67376702398568
"117" 117 24 2 0.703365380075935 0.697278007820488 0.656993791195411 0.703864603404376
"118" 118 24 3 0.717780128127325 0.715717238846861 0.722850683669002 0.716416073201186
"119" 119 24 4 0.684986931836327 0.69381831826329 0.719213135375447 0.659721052669334
"120" 120 24 5 0.676781682749026 0.684943727889183 0.626469633152279 0.662196366928309
"121" 121 25 1 0.67562481868522 0.652177177393009 0.660638359846018 0.699245051491048
"122" 122 25 2 0.718126517820267 0.726858378640027 0.721793017613541 0.611266489096455
"123" 123 25 3 0.71986863493331 0.69007914577285 0.703402430774813 0.69817006952058
"124" 124 25 4 0.688869858306225 0.671618528058919 0.680103837270894 0.769888032208779
"125" 125 25 5 0.653960656934657 0.640018970841375 0.69591339802034 0.701996079673293
"126" 126 26 1 0.683502415082196 0.753425938403665 0.686204934508852 0.693333018642324
"127" 127 26 2 0.715394103984044 0.668398399123402 0.662210012985368 0.732085835142792
"128" 128 26 3 0.654087566521372 0.655592232692464 0.716103134391411 0.662514139103385
"129" 129 26 4 0.632381029201784 0.683106097324111 0.703001502603975 0.673740654234074
"130" 130 26 5 0.723026818011985 0.673479073101958 0.706529856453001 0.662974913305138
"131" 131 27 1 0.634408788876076 0.775366053568636 0.67458548253352 0.645497875747135
"132" 132 27 2 0.760098063709816 0.714260893527161 0.721066630480616 0.793824791133172
"133" 133 27 3 0.754281294090511 0.67377649072813 0.668798289375047 0.678394699315165
"134" 134 27 4 0.652174031565077 0.655540779508064 0.681407316245631 0.662586950619386
"135" 135 27 5 0.619475264909782 0.649759401916153 0.702197738056445 0.660534295405178
"136" 136 28 1 0.641495401096447 0.666656798555673 0.673561120047811 0.727770720225172
"137" 137 28 2 0.660168228103495 0.760668778228664 0.668202421924414 0.719209388272842
"138" 138 28 3 0.743730110429442 0.664397704712285 0.662366662035638 0.71617858509033
"139" 139 28 4 0.736430175696722 0.688846165035705 0.722033292487655 0.650355333496461
"140" 140 28 5 0.723247211797391 0.677106263024545 0.692118688522989 0.672887777078762
"141" 141 29 1 0.707308771201992 0.681664794586323 0.684323271735626 0.672453493643709
"142" 142 29 2 0.713602348615118 0.734357537463186 0.667792676996421 0.703473663450544
"143" 143 29 3 0.691262666648257 0.70616526214571 0.685357391678884 0.654881682392189
"144" 144 29 4 0.715250076481557 0.691429287671126 0.683508535162069 0.743177523271028
"145" 145 29 5 0.632582853292344 0.651968120523668 0.687954410745594 0.678563896497199
"146" 146 30 1 0.711487989038073 0.713630541394452 0.672185499978768 0.632469540034157
"147" 147 30 2 0.754562149820103 0.714802493804332 0.623071591050174 0.71306429015304
"148" 148 30 3 0.671274556136804 0.66968681682896 0.702785654223191 0.672126440649381
"149" 149 30 4 0.694527658714479 0.688899216307665 0.732096962813424 0.654289485913309
"150" 150 30 5 0.662779359029136 0.669577171133905 0.680920532634637 0.757118523800336
