KNeighborsRegressor_rmse,MLPRegressor_rmse,DecisionTreeRegressor_rmse,SVR_rmse,repeat,fold
0.5862833076262997,0.653835567711349,0.7325505027506081,0.5541725140425331,1,1
0.7001666591201752,0.7785890053615532,0.7156666744434695,0.5757786390216421,1,2
0.6516255571958179,1.3525306513346886,0.7410828360812991,0.6236222241148222,1,3
0.7063550554506849,0.8137272704316505,0.7090491184814648,0.5749546523879494,1,4
0.7176198127871432,0.8274462603074819,0.777126149256727,0.6464312755477114,1,5
0.6599667042963626,0.757537760937454,0.7540539375389897,0.5495330546031802,2,1
0.6908756957743972,0.8053402352488732,0.7139109420170495,0.5934170991069952,2,2
0.6518977590751437,0.7498552224172386,0.6749992192872741,0.5435098023938789,2,3
0.6998955501083258,0.8387864032981025,0.7923857489540999,0.6421664319472687,2,4
0.7054821511416055,1.3669994630778122,0.7417691445184449,0.6348677330621172,2,5
0.6129249086660954,0.8929337087176307,0.7062791574601806,0.5636141693175402,3,1
0.7266065837248811,0.8455905512530976,0.6985784767515254,0.5723807033970407,3,2
0.6972589769394218,0.8238891794773602,0.7250789931286773,0.6166876350582728,3,3
0.632904544556034,1.4761938349332242,0.6532051142935325,0.5335617087448521,3,4
0.763793615702664,0.9118532417810034,0.7579900552299416,0.6680301480078396,3,5
0.6906411604312553,0.8456415474456428,0.7658703002449659,0.5784108554108435,4,1
0.6927206549839152,0.737804581462382,0.7173243643287627,0.6038928584680536,4,2
0.636098207633027,1.2768520352126047,0.7555431665525468,0.5970991336983452,4,3
0.6874910185902877,0.7224318507215618,0.7393551541609769,0.5866701040329502,4,4
0.6640893913572171,3.326261036345385,0.6801833021784977,0.6049326908293767,4,5
0.6310920751709801,0.7684625096853768,0.7014271692012615,0.512502444183679,5,1
0.6668502455715934,0.8858878507623553,0.7218379099554152,0.6199685215011094,5,2
0.6991534489036508,0.841936470657025,0.7138373835787096,0.5908176897223364,5,3
0.698936720093374,0.9039629343938355,0.7951371756324421,0.5985620123099682,5,4
0.7168973912359182,1.7863615563028121,0.7959775977285912,0.6352522751011731,5,5
0.6655399705973023,0.9772815331162966,0.7533723910427713,0.5567974115855467,6,1
0.6696567136580787,0.9262243162358988,0.7349968048082641,0.6104034406638471,6,2
0.6614108641467691,0.9730582782606336,0.7262514203709015,0.5747177787315837,6,3
0.7830616417399123,0.6835217136606834,0.7307442471640888,0.6257257237620271,6,4
0.6234189945922323,0.894994057743447,0.6876422405512542,0.6041128114603912,6,5
0.6633492677652488,1.6988299006804204,0.7483383641365755,0.6107889008835216,7,1
0.6959537651507085,0.6659334694828066,0.7300972470326991,0.6035220484127384,7,2
0.6277354400784657,0.7682634203812363,0.6564258011341313,0.5613184036580403,7,3
0.7345340266445967,0.9388253698731223,0.7593109606586552,0.6488065215709162,7,4
0.6644636156473612,1.1049373186942313,0.6880633836541165,0.5508684782868822,7,5
0.6490691545112456,0.7817544891338132,0.7462396813499627,0.5943752920781272,8,1
0.7285804515654285,0.801033668597219,0.8021747198531836,0.6245740397679279,8,2
0.6842346553713435,0.7838214998336386,0.6657758812735858,0.5768893016622604,8,3
0.6560695277356482,0.8270199773786404,0.6831457932222327,0.5981275266431479,8,4
0.7025324462316557,2.1765479847244347,0.7148944083372825,0.6048853421380053,8,5
0.7106475140317376,0.7291800285426782,0.7846568499559986,0.5671232790019465,9,1
0.68035947051891,2.685311548474906,0.7327866819591461,0.6217838627828666,9,2
0.6947232737361688,0.7637201742317407,0.7166693520724835,0.6172919534659581,9,3
0.6814572240516293,0.8203862582402823,0.7040160253440821,0.5688545355257942,9,4
0.6841592910174421,1.0400451712969845,0.7799032884809376,0.6444956091738903,9,5
0.6582198085669649,0.768692137814201,0.7279914407016608,0.5329198036637538,10,1
0.6558724423041175,0.7833275434636174,0.6891054239011842,0.5707083219780088,10,2
0.6980585959709656,1.5642883542891954,0.7255262908584694,0.6327184640965131,10,3
0.7227616297241263,0.8028752676323678,0.7973685149733404,0.6709979879596929,10,4
0.6854673732116809,0.7390613319845467,0.7371880896411487,0.5950424158050621,10,5
0.682534039608119,1.3571284292492958,0.6810461158425163,0.6112341586495595,11,1
0.7180910749290856,0.7350199197914987,0.7163506994959895,0.606682993541164,11,2
0.6605563874508097,0.7812868223486493,0.7235985387162632,0.6070468033318809,11,3
0.6824581980181539,0.7274785646641054,0.7400047334490737,0.5835328839431686,11,4
0.6630949490314932,0.951755689285264,0.6998156601854452,0.575286544860088,11,5
0.711005433865163,0.8675780044477178,0.7078037037039666,0.6352759509589389,12,1
0.6758365282257502,0.9542019379084682,0.7275918015684102,0.5903280655485554,12,2
0.6744628573717176,0.8457669452559244,0.7303617977668093,0.5818641446591984,12,3
0.6873519932577123,0.8804918498806439,0.8040297374295791,0.6132483410009866,12,4
0.6906913189026943,1.5914530425412559,0.7805362152117474,0.5677244889413077,12,5
0.6238068447860232,0.8077747482855357,0.7310140005908938,0.5520554240074799,13,1
0.7140860605181534,0.8656495290335282,0.8021545480714972,0.6127075324601724,13,2
